sentence,label,concept,category,feature,id
a willow tree produces wood.,1,willow,tree,produces wood,595
a pine tree produces wood.,1,pine,tree,produces wood,596
a fir tree produces wood.,1,fir,tree,produces wood,597
a chestnut tree produces wood.,1,chestnut,tree,produces wood,598
a birch tree produces wood.,1,birch,tree,produces wood,599
an elm tree produces wood.,1,elm,tree,produces wood,600
an oak tree produces wood.,1,oak,tree,produces wood,601
a eucalyptus tree produces wood.,1,eucalyptus,tree,produces wood,602
a sycamore tree produces wood.,1,sycamore,tree,produces wood,603
a buttercup produces wood.,0,buttercup,flower,produces wood,604
a marigold produces wood.,0,marigold,flower,produces wood,605
a carnation produces wood.,0,carnation,flower,produces wood,606
a geranium produces wood.,0,geranium,flower,produces wood,607
a tulip produces wood.,0,tulip,flower,produces wood,608
a worm produces wood.,0,worm,invertebrate,produces wood,609
a caterpillar produces wood.,0,caterpillar,invertebrate,produces wood,610
a pansy produces wood.,0,pansy,flower,produces wood,611
a sunflower produces wood.,0,sunflower,flower,produces wood,612
a hyacinth produces wood.,0,hyacinth,flower,produces wood,613
a dandelion produces wood.,0,dandelion,flower,produces wood,614
a daffodil produces wood.,0,daffodil,flower,produces wood,615
an orchid produces wood.,0,orchid,flower,produces wood,616
a brussels sprout produces wood.,0,brussels_sprout,vegetable,produces wood,617
a daisy produces wood.,0,daisy,flower,produces wood,618
a lily produces wood.,0,lily,flower,produces wood,619
a poppy produces wood.,0,poppy,flower,produces wood,620
a rose produces wood.,0,rose,flower,produces wood,621
a trolley can transport people.,1,trolley,vehicle,can transport people,691
a lorry can transport people.,1,lorry,vehicle,can transport people,692
a wheelchair can transport people.,1,wheelchair,vehicle,can transport people,693
a limousine can transport people.,1,limousine,vehicle,can transport people,694
a yacht can transport people.,1,yacht,water vehicle,can transport people,695
a car can transport people.,1,car,vehicle,can transport people,696
a horse can transport people.,1,horse,animal,can transport people,697
a buggy can transport people.,1,buggy,vehicle,can transport people,698
a carriage can transport people.,1,carriage,vehicle,can transport people,699
a motorcycle can transport people.,1,motorcycle,vehicle,can transport people,700
a moped can transport people.,1,moped,vehicle,can transport people,701
a kayak can transport people.,1,kayak,water vehicle,can transport people,702
a van can transport people.,1,van,vehicle,can transport people,703
a taxi can transport people.,1,taxi,vehicle,can transport people,704
a ship can transport people.,1,ship,water vehicle,can transport people,705
a ferry can transport people.,1,ferry,water vehicle,can transport people,706
a sledge can transport people.,1,sledge,vehicle,can transport people,707
a camel can transport people.,1,camel,animal,can transport people,708
an ambulance can transport people.,1,ambulance,vehicle,can transport people,709
a speedboat can transport people.,1,speedboat,water vehicle,can transport people,710
a helicopter can transport people.,1,helicopter,vehicle,can transport people,711
a houseboat can transport people.,1,houseboat,water vehicle,can transport people,712
a raft can transport people.,1,raft,water vehicle,can transport people,713
a tugboat can transport people.,1,tugboat,water vehicle,can transport people,714
a bicycle can transport people.,1,bicycle,vehicle,can transport people,715
a coach can transport people.,1,coach,vehicle,can transport people,716
a barge can transport people.,1,barge,water vehicle,can transport people,717
a dinghy can transport people.,1,dinghy,water vehicle,can transport people,718
a train can transport people.,1,train,vehicle,can transport people,719
a truck can transport people.,1,truck,vehicle,can transport people,720
an airplane can transport people.,1,airplane,vehicle,can transport people,721
a submarine can transport people.,1,submarine,water vehicle,can transport people,722
a caravan can transport people.,1,caravan,vehicle,can transport people,723
a boat can transport people.,1,boat,water vehicle,can transport people,724
a bus can transport people.,1,bus,vehicle,can transport people,725
a canoe can transport people.,1,canoe,water vehicle,can transport people,726
a ball can transport people.,0,ball,toy,can transport people,727
a dice can transport people.,0,dice,toy,can transport people,728
a lobster can transport people.,0,lobster,sea creature,can transport people,729
a basin can transport people.,0,basin,container,can transport people,730
a tricycle can transport people.,0,tricycle,vehicle,can transport people,731
a finger can transport people.,0,finger,body part,can transport people,732
a club can transport people.,0,club,weapon,can transport people,733
a balloon can transport people.,0,balloon,toy,can transport people,734
a cucumber can transport people.,0,cucumber,vegetable,can transport people,735
an arrow can transport people.,0,arrow,weapon,can transport people,736
coffee can transport people.,0,coffee,drink,can transport people,737
a rocket can transport people.,0,rocket,vehicle,can transport people,738
a dresser can transport people.,0,dresser,furniture,can transport people,739
a jar can transport people.,0,jar,container,can transport people,740
a hippo can transport people.,0,hippo,animal,can transport people,741
a bat can transport people.,0,bat,animal,can transport people,742
a cannon can transport people.,0,cannon,weapon,can transport people,743
a guitar can transport people.,0,guitar,music,can transport people,744
a tray can transport people.,0,tray,kitchenware,can transport people,745
a llama can transport people.,0,llama,animal,can transport people,746
a bullet can transport people.,0,bullet,weapon,can transport people,747
