sentence,label,concept,category,feature,id
a willow tree produces wood.,1,willow,tree,produces wood,629
a pine tree produces wood.,1,pine,tree,produces wood,630
a fir tree produces wood.,1,fir,tree,produces wood,631
a chestnut tree produces wood.,1,chestnut,tree,produces wood,632
a birch tree produces wood.,1,birch,tree,produces wood,633
an elm tree produces wood.,1,elm,tree,produces wood,634
an oak tree produces wood.,1,oak,tree,produces wood,635
a eucalyptus tree produces wood.,1,eucalyptus,tree,produces wood,636
a sycamore tree produces wood.,1,sycamore,tree,produces wood,637
a buttercup produces wood.,0,buttercup,flower,produces wood,638
a frog produces wood.,0,frog,animal,produces wood,639
a carnation produces wood.,0,carnation,flower,produces wood,640
a marigold produces wood.,0,marigold,flower,produces wood,641
a geranium produces wood.,0,geranium,flower,produces wood,642
a jellyfish produces wood.,0,jellyfish,sea creature,produces wood,643
a tulip produces wood.,0,tulip,flower,produces wood,644
a worm produces wood.,0,worm,invertebrate,produces wood,645
a lamb produces wood.,0,lamb,animal,produces wood,646
a caterpillar produces wood.,0,caterpillar,invertebrate,produces wood,647
a calf produces wood.,0,calf,animal,produces wood,648
a pansy produces wood.,0,pansy,flower,produces wood,649
a sunflower produces wood.,0,sunflower,flower,produces wood,650
a beetle produces wood.,0,beetle,invertebrate,produces wood,651
a hyacinth produces wood.,0,hyacinth,flower,produces wood,652
a slug produces wood.,0,slug,invertebrate,produces wood,653
a dandelion produces wood.,0,dandelion,flower,produces wood,654
a daffodil produces wood.,0,daffodil,flower,produces wood,655
an orchid produces wood.,0,orchid,flower,produces wood,656
a millipede produces wood.,0,millipede,invertebrate,produces wood,657
a brussels sprout produces wood.,0,brussels_sprout,vegetable,produces wood,658
a daisy produces wood.,0,daisy,flower,produces wood,659
a centipede produces wood.,0,centipede,invertebrate,produces wood,660
a lily produces wood.,0,lily,flower,produces wood,661
a poppy produces wood.,0,poppy,flower,produces wood,662
a snail produces wood.,0,snail,invertebrate,produces wood,663
a rose produces wood.,0,rose,flower,produces wood,664
a trolley can transport people.,1,trolley,vehicle,can transport people,757
a lorry can transport people.,1,lorry,vehicle,can transport people,758
a wheelchair can transport people.,1,wheelchair,vehicle,can transport people,759
a limousine can transport people.,1,limousine,vehicle,can transport people,760
a yacht can transport people.,1,yacht,water vehicle,can transport people,761
a car can transport people.,1,car,vehicle,can transport people,762
a horse can transport people.,1,horse,animal,can transport people,763
a buggy can transport people.,1,buggy,vehicle,can transport people,764
a carriage can transport people.,1,carriage,vehicle,can transport people,765
a motorcycle can transport people.,1,motorcycle,vehicle,can transport people,766
a moped can transport people.,1,moped,vehicle,can transport people,767
a kayak can transport people.,1,kayak,water vehicle,can transport people,768
a van can transport people.,1,van,vehicle,can transport people,769
a taxi can transport people.,1,taxi,vehicle,can transport people,770
a ship can transport people.,1,ship,water vehicle,can transport people,771
a ferry can transport people.,1,ferry,water vehicle,can transport people,772
a sledge can transport people.,1,sledge,vehicle,can transport people,773
a camel can transport people.,1,camel,animal,can transport people,774
an ambulance can transport people.,1,ambulance,vehicle,can transport people,775
a speedboat can transport people.,1,speedboat,water vehicle,can transport people,776
a helicopter can transport people.,1,helicopter,vehicle,can transport people,777
a houseboat can transport people.,1,houseboat,water vehicle,can transport people,778
a raft can transport people.,1,raft,water vehicle,can transport people,779
a tugboat can transport people.,1,tugboat,water vehicle,can transport people,780
a bicycle can transport people.,1,bicycle,vehicle,can transport people,781
a coach can transport people.,1,coach,vehicle,can transport people,782
a barge can transport people.,1,barge,water vehicle,can transport people,783
a dinghy can transport people.,1,dinghy,water vehicle,can transport people,784
a train can transport people.,1,train,vehicle,can transport people,785
a truck can transport people.,1,truck,vehicle,can transport people,786
an airplane can transport people.,1,airplane,vehicle,can transport people,787
a submarine can transport people.,1,submarine,water vehicle,can transport people,788
a caravan can transport people.,1,caravan,vehicle,can transport people,789
a boat can transport people.,1,boat,water vehicle,can transport people,790
a bus can transport people.,1,bus,vehicle,can transport people,791
a canoe can transport people.,1,canoe,water vehicle,can transport people,792
a buttercup can transport people.,0,buttercup,flower,can transport people,793
a ball can transport people.,0,ball,toy,can transport people,794
a dice can transport people.,0,dice,toy,can transport people,795
a basin can transport people.,0,basin,container,can transport people,796
a tricycle can transport people.,0,tricycle,vehicle,can transport people,797
a spanner can transport people.,0,spanner,tool,can transport people,798
a radish can transport people.,0,radish,vegetable,can transport people,799
ketchup can transport people.,0,ketchup,food,can transport people,800
a club can transport people.,0,club,weapon,can transport people,801
a sardine can transport people.,0,sardine,fish,can transport people,802
a balloon can transport people.,0,balloon,toy,can transport people,803
a coat can transport people.,0,coat,clothing,can transport people,804
a satchel can transport people.,0,satchel,container,can transport people,805
a desk can transport people.,0,desk,furniture,can transport people,806
a swing can transport people.,0,swing,toy,can transport people,807
a rocket can transport people.,0,rocket,vehicle,can transport people,808
a dresser can transport people.,0,dresser,furniture,can transport people,809
a jar can transport people.,0,jar,container,can transport people,810
a hippo can transport people.,0,hippo,animal,can transport people,811
a unicycle can transport people.,0,unicycle,vehicle,can transport people,812
a cannon can transport people.,0,cannon,weapon,can transport people,813
a guitar can transport people.,0,guitar,music,can transport people,814
a mitten can transport people.,0,mitten,clothing,can transport people,815
a hornet can transport people.,0,hornet,invertebrate,can transport people,816
a grater can transport people.,0,grater,kitchenware,can transport people,817
a tray can transport people.,0,tray,kitchenware,can transport people,818
a screw can transport people.,0,screw,tool,can transport people,819
a llama can transport people.,0,llama,animal,can transport people,820
a basket can transport people.,0,basket,container,can transport people,821
a catapult can transport people.,0,catapult,weapon,can transport people,822
a harpoon can transport people.,0,harpoon,weapon,can transport people,823
a ladle can transport people.,0,ladle,kitchenware,can transport people,824
a lion can transport people.,0,lion,animal,can transport people,825
yoghurt can transport people.,0,yoghurt,food,can transport people,826
a grasshopper can transport people.,0,grasshopper,invertebrate,can transport people,827
a pig can transport people.,0,pig,animal,can transport people,828
a cage can transport people.,0,cage,container,can transport people,829
a shotgun can transport people.,0,shotgun,weapon,can transport people,830
a mirror can transport people.,0,mirror,furniture,can transport people,831
a stool can transport people.,0,stool,furniture,can transport people,832
a bin can transport people.,0,bin,container,can transport people,833
a mosquito can transport people.,0,mosquito,invertebrate,can transport people,834
a skateboard can transport people.,0,skateboard,toy,can transport people,835
a television can transport people.,0,television,appliance,can transport people,836
gin can transport people.,0,gin,drink,can transport people,837
an artichoke can transport people.,0,artichoke,vegetable,can transport people,838
a bowl can transport people.,0,bowl,container,can transport people,839
a bucket can transport people.,0,bucket,container,can transport people,840
a drum can transport people.,0,drum,music,can transport people,841
a yoyo can transport people.,0,yoyo,toy,can transport people,842
a heron can transport people.,0,heron,bird,can transport people,843
a pineapple can transport people.,0,pineapple,fruit,can transport people,844
an eggplant can transport people.,0,eggplant,vegetable,can transport people,845
a chest of drawers can transport people.,0,chest_of_drawers,furniture,can transport people,846
earmuffs can transport people.,0,earmuffs,clothing,can transport people,847
a harpsichord can transport people.,0,harpsichord,music,can transport people,848
a kiwi can transport people.,0,kiwi,fruit,can transport people,849
an octopus can transport people.,0,octopus,sea creature,can transport people,850
a bottle can transport people.,0,bottle,container,can transport people,851
a cradle can transport people.,0,cradle,furniture,can transport people,852
a screwdriver can transport people.,0,screwdriver,tool,can transport people,853
a rattle can transport people.,0,rattle,toy,can transport people,854
a grenade can transport people.,0,grenade,weapon,can transport people,855
a sycamore tree can transport people.,0,sycamore,tree,can transport people,856
a bow can transport people.,0,bow,weapon,can transport people,857
a flute can transport people.,0,flute,music,can transport people,858
an organ can transport people.,0,organ,music,can transport people,859
a housefly can transport people.,0,housefly,invertebrate,can transport people,860
a spatula can transport people.,0,spatula,kitchenware,can transport people,861
a rhino can transport people.,0,rhino,animal,can transport people,862
an ashtray can transport people.,0,ashtray,container,can transport people,863
a jug can transport people.,0,jug,container,can transport people,864
a harp can transport people.,0,harp,music,can transport people,865
a broom can transport people.,0,broom,tool,can transport people,866
a colander can transport people.,0,colander,kitchenware,can transport people,867
a cymbal can transport people.,0,cymbal,music,can transport people,868
a banjo can transport people.,0,banjo,music,can transport people,869
castanets can transport people.,0,castanets,music,can transport people,870
a peach can transport people.,0,peach,fruit,can transport people,871
a worm can transport people.,0,worm,invertebrate,can transport people,872
a marble can transport people.,0,marble,toy,can transport people,873
a hoe can transport people.,0,hoe,tool,can transport people,874
a lamp can transport people.,0,lamp,furniture,can transport people,875
a box can transport people.,0,box,container,can transport people,876
a robe can transport people.,0,robe,clothing,can transport people,877
a pumpkin can transport people.,0,pumpkin,vegetable,can transport people,878
a sink can transport people.,0,sink,container,can transport people,879
a piano can transport people.,0,piano,music,can transport people,880
a french horn can transport people.,0,french_horn,music,can transport people,881
an owl can transport people.,0,owl,bird,can transport people,882
a sunflower can transport people.,0,sunflower,flower,can transport people,883
a monkey can transport people.,0,monkey,animal,can transport people,884
a peeler can transport people.,0,peeler,kitchenware,can transport people,885
a rollerskate can transport people.,0,rollerskate,toy,can transport people,886
an armchair can transport people.,0,armchair,furniture,can transport people,887
a wasp can transport people.,0,wasp,invertebrate,can transport people,888
a strainer can transport people.,0,strainer,kitchenware,can transport people,889
a bolt can transport people.,0,bolt,tool,can transport people,890
a flea can transport people.,0,flea,invertebrate,can transport people,891
a giraffe can transport people.,0,giraffe,animal,can transport people,892
a bag can transport people.,0,bag,container,can transport people,893
a bomb can transport people.,0,bomb,weapon,can transport people,894
a chandelier can transport people.,0,chandelier,furniture,can transport people,895
a puppet can transport people.,0,puppet,toy,can transport people,896
a camera can transport people.,0,camera,appliance,can transport people,897
a clamp can transport people.,0,clamp,tool,can transport people,898
an elephant can transport people.,0,elephant,animal,can transport people,899
a barrel can transport people.,0,barrel,container,can transport people,900
a table can transport people.,0,table,furniture,can transport people,901
a kite can transport people.,0,kite,toy,can transport people,902
a chopping board can transport people.,0,chopping_board,kitchenware,can transport people,903
a drill can transport people.,0,drill,tool,can transport people,904
a bagpipe can transport people.,0,bagpipe,music,can transport people,905
a bookcase can transport people.,0,bookcase,furniture,can transport people,906
an armor can transport people.,0,armor,clothing,can transport people,907
a cup can transport people.,0,cup,container,can transport people,908
a nail can transport people.,0,nail,tool,can transport people,909
a spirit level can transport people.,0,spirit_level,tool,can transport people,910
a wallet can transport people.,0,wallet,container,can transport people,911
a dandelion can transport people.,0,dandelion,flower,can transport people,912
a rolling pin can transport people.,0,rolling_pin,kitchenware,can transport people,913
a deer can transport people.,0,deer,animal,can transport people,914
a saw can transport people.,0,saw,tool,can transport people,915
a seal can transport people.,0,seal,animal,can transport people,916
a rake can transport people.,0,rake,tool,can transport people,917
a turtle can transport people.,0,turtle,sea creature,can transport people,918
a doll can transport people.,0,doll,toy,can transport people,919
a bathtub can transport people.,0,bathtub,container,can transport people,920
an apricot can transport people.,0,apricot,fruit,can transport people,921
a plow can transport people.,0,plow,tool,can transport people,922
an ant can carry things.,1,ant,invertebrate,can carry things,1131
a bee can carry things.,0,bee,invertebrate,can carry things,1132
a beetle can carry things.,0,beetle,invertebrate,can carry things,1133
a wasp can carry things.,0,wasp,invertebrate,can carry things,1134
a trolley can carry objects.,1,trolley,vehicle,can carry objects,1135
a lorry can carry objects.,1,lorry,vehicle,can carry objects,1136
a box can carry objects.,1,box,container,can carry objects,1137
a car can carry objects.,1,car,vehicle,can carry objects,1138
a satchel can carry objects.,1,satchel,container,can carry objects,1139
a carriage can carry objects.,1,carriage,vehicle,can carry objects,1140
an arm can carry objects.,1,arm,body part,can carry objects,1141
a van can carry objects.,1,van,vehicle,can carry objects,1142
a tray can carry objects.,1,tray,kitchenware,can carry objects,1143
a basket can carry objects.,1,basket,container,can carry objects,1144
a ladle can carry objects.,1,ladle,kitchenware,can carry objects,1145
a bag can carry objects.,1,bag,container,can carry objects,1146
a bin can carry objects.,1,bin,container,can carry objects,1147
a mug can carry objects.,1,mug,container,can carry objects,1148
a bowl can carry objects.,1,bowl,container,can carry objects,1149
a barrel can carry objects.,1,barrel,container,can carry objects,1150
a bucket can carry objects.,1,bucket,container,can carry objects,1151
a wheelbarrow can carry objects.,1,wheelbarrow,vehicle,can carry objects,1152
a bottle can carry objects.,1,bottle,container,can carry objects,1153
a cup can carry objects.,1,cup,container,can carry objects,1154
a train can carry objects.,1,train,vehicle,can carry objects,1155
a wallet can carry objects.,1,wallet,container,can carry objects,1156
a truck can carry objects.,1,truck,vehicle,can carry objects,1157
a jug can carry objects.,1,jug,container,can carry objects,1158
a bus can carry objects.,1,bus,vehicle,can carry objects,1159
a ball can carry objects.,0,ball,toy,can carry objects,1160
a dice can carry objects.,0,dice,toy,can carry objects,1161
a tank can carry objects.,0,tank,vehicle,can carry objects,1162
a basin can carry objects.,0,basin,container,can carry objects,1163
a tricycle can carry objects.,0,tricycle,vehicle,can carry objects,1164
a violin can carry objects.,0,violin,music,can carry objects,1165
a limousine can carry objects.,0,limousine,vehicle,can carry objects,1166
a finger can carry objects.,0,finger,body part,can carry objects,1167
a club can carry objects.,0,club,weapon,can carry objects,1168
a balloon can carry objects.,0,balloon,toy,can carry objects,1169
a flounder can carry objects.,0,flounder,fish,can carry objects,1170
a calf can carry objects.,0,calf,animal,can carry objects,1171
a cupboard can carry objects.,0,cupboard,furniture,can carry objects,1172
wine can carry objects.,0,wine,drink,can carry objects,1173
a buggy can carry objects.,0,buggy,vehicle,can carry objects,1174
a rocket can carry objects.,0,rocket,vehicle,can carry objects,1175
a motorcycle can carry objects.,0,motorcycle,vehicle,can carry objects,1176
a dresser can carry objects.,0,dresser,furniture,can carry objects,1177
a jar can carry objects.,0,jar,container,can carry objects,1178
a unicycle can carry objects.,0,unicycle,vehicle,can carry objects,1179
a bone can carry objects.,0,bone,body part,can carry objects,1180
a dove can carry objects.,0,dove,bird,can carry objects,1181
a pony can carry objects.,0,pony,animal,can carry objects,1182
a leg can carry objects.,0,leg,body part,can carry objects,1183
a taxi can carry objects.,0,taxi,vehicle,can carry objects,1184
a banana can carry objects.,0,banana,fruit,can carry objects,1185
a gherkin can carry objects.,0,gherkin,food,can carry objects,1186
a llama can carry objects.,0,llama,animal,can carry objects,1187
yoghurt can carry objects.,0,yoghurt,food,can carry objects,1188
a catapult can carry objects.,0,catapult,weapon,can carry objects,1189
a gong can carry objects.,0,gong,music,can carry objects,1190
a harpoon can carry objects.,0,harpoon,weapon,can carry objects,1191
a ship can carry objects.,0,ship,water vehicle,can carry objects,1192
a cage can carry objects.,0,cage,container,can carry objects,1193
a sledge can carry objects.,0,sledge,vehicle,can carry objects,1194
a mirror can carry objects.,0,mirror,furniture,can carry objects,1195
an ambulance can carry objects.,0,ambulance,vehicle,can carry objects,1196
a stool can carry objects.,0,stool,furniture,can carry objects,1197
a turkey can carry objects.,0,turkey,bird,can carry objects,1198
a woodpecker can carry objects.,0,woodpecker,bird,can carry objects,1199
a skateboard can carry objects.,0,skateboard,toy,can carry objects,1200
sugar can carry objects.,0,sugar,food,can carry objects,1201
ham can carry objects.,0,ham,food,can carry objects,1202
an artichoke can carry objects.,0,artichoke,vegetable,can carry objects,1203
a raft can carry objects.,0,raft,water vehicle,can carry objects,1204
a tugboat can carry objects.,0,tugboat,water vehicle,can carry objects,1205
a sultana can carry objects.,0,sultana,food,can carry objects,1206
a salmon can carry objects.,0,salmon,fish,can carry objects,1207
a yoyo can carry objects.,0,yoyo,toy,can carry objects,1208
earmuffs can carry objects.,0,earmuffs,clothing,can carry objects,1209
a chest of drawers can carry objects.,0,chest_of_drawers,furniture,can carry objects,1210
a tractor can carry objects.,0,tractor,vehicle,can carry objects,1211
a tongue can carry objects.,0,tongue,body part,can carry objects,1212
a spider can carry objects.,0,spider,invertebrate,can carry objects,1213
a rattle can carry objects.,0,rattle,toy,can carry objects,1214
a hyacinth can carry objects.,0,hyacinth,flower,can carry objects,1215
a bow can carry objects.,0,bow,weapon,can carry objects,1216
an airplane can carry objects.,0,airplane,vehicle,can carry objects,1217
a toe can carry objects.,0,toe,body part,can carry objects,1218
an ashtray can carry objects.,0,ashtray,container,can carry objects,1219
a boat can carry objects.,0,boat,water vehicle,can carry objects,1220
a dress can carry objects.,0,dress,clothing,can carry objects,1221
lemonade can carry objects.,0,lemonade,drink,can carry objects,1222
a broom can carry objects.,0,broom,tool,can carry objects,1223
a shawl can carry objects.,0,shawl,clothing,can carry objects,1224
a yacht can carry objects.,0,yacht,water vehicle,can carry objects,1225
a hoe can carry objects.,0,hoe,tool,can carry objects,1226
a lamp can carry objects.,0,lamp,furniture,can carry objects,1227
a robe can carry objects.,0,robe,clothing,can carry objects,1228
a sink can carry objects.,0,sink,container,can carry objects,1229
a peeler can carry objects.,0,peeler,kitchenware,can carry objects,1230
a rollerskate can carry objects.,0,rollerskate,toy,can carry objects,1231
a cart can carry objects.,0,cart,vehicle,can carry objects,1232
a scarf can carry objects.,0,scarf,clothing,can carry objects,1233
a strainer can carry objects.,0,strainer,kitchenware,can carry objects,1234
a bolt can carry objects.,0,bolt,tool,can carry objects,1235
a locust can carry objects.,0,locust,invertebrate,can carry objects,1236
a bench can carry objects.,0,bench,furniture,can carry objects,1237
a ferry can carry objects.,0,ferry,water vehicle,can carry objects,1238
an elm tree can carry objects.,0,elm,tree,can carry objects,1239
a bomb can carry objects.,0,bomb,weapon,can carry objects,1240
a chandelier can carry objects.,0,chandelier,furniture,can carry objects,1241
a puppet can carry objects.,0,puppet,toy,can carry objects,1242
a speedboat can carry objects.,0,speedboat,water vehicle,can carry objects,1243
a helicopter can carry objects.,0,helicopter,vehicle,can carry objects,1244
a clamp can carry objects.,0,clamp,tool,can carry objects,1245
a kite can carry objects.,0,kite,toy,can carry objects,1246
a cat can carry objects.,0,cat,animal,can carry objects,1247
a chopping board can carry objects.,0,chopping_board,kitchenware,can carry objects,1248
a drill can carry objects.,0,drill,tool,can carry objects,1249
a glider can carry objects.,0,glider,vehicle,can carry objects,1250
a mushroom can carry objects.,0,mushroom,vegetable,can carry objects,1251
a bicycle can carry objects.,0,bicycle,vehicle,can carry objects,1252
a canary can carry objects.,0,canary,bird,can carry objects,1253
a coach can carry objects.,0,coach,vehicle,can carry objects,1254
a bookcase can carry objects.,0,bookcase,furniture,can carry objects,1255
an armor can carry objects.,0,armor,clothing,can carry objects,1256
a barge can carry objects.,0,barge,water vehicle,can carry objects,1257
a jacket can carry objects.,0,jacket,clothing,can carry objects,1258
a dinghy can carry objects.,0,dinghy,water vehicle,can carry objects,1259
a kangaroo can carry objects.,0,kangaroo,animal,can carry objects,1260
a shark can carry objects.,0,shark,fish,can carry objects,1261
a gown can carry objects.,0,gown,clothing,can carry objects,1262
a rake can carry objects.,0,rake,tool,can carry objects,1263
a caravan can carry objects.,0,caravan,vehicle,can carry objects,1264
a chair can carry objects.,0,chair,furniture,can carry objects,1265
a doll can carry objects.,0,doll,toy,can carry objects,1266
a bathtub can carry objects.,0,bathtub,container,can carry objects,1267
coffee can carry objects.,0,coffee,drink,can carry objects,1268
a tank has an engine.,1,tank,vehicle,has an engine,1269
a lorry has an engine.,1,lorry,vehicle,has an engine,1270
a limousine has an engine.,1,limousine,vehicle,has an engine,1271
a yacht has an engine.,1,yacht,water vehicle,has an engine,1272
a car has an engine.,1,car,vehicle,has an engine,1273
a rocket has an engine.,1,rocket,vehicle,has an engine,1274
a motorcycle has an engine.,1,motorcycle,vehicle,has an engine,1275
a moped has an engine.,1,moped,vehicle,has an engine,1276
a van has an engine.,1,van,vehicle,has an engine,1277
a taxi has an engine.,1,taxi,vehicle,has an engine,1278
a ship has an engine.,1,ship,water vehicle,has an engine,1279
a ferry has an engine.,1,ferry,water vehicle,has an engine,1280
an ambulance has an engine.,1,ambulance,vehicle,has an engine,1281
a speedboat has an engine.,1,speedboat,water vehicle,has an engine,1282
a helicopter has an engine.,1,helicopter,vehicle,has an engine,1283
a houseboat has an engine.,1,houseboat,water vehicle,has an engine,1284
a tugboat has an engine.,1,tugboat,water vehicle,has an engine,1285
a tractor has an engine.,1,tractor,vehicle,has an engine,1286
a coach has an engine.,1,coach,vehicle,has an engine,1287
a barge has an engine.,1,barge,water vehicle,has an engine,1288
a dinghy has an engine.,1,dinghy,water vehicle,has an engine,1289
a train has an engine.,1,train,vehicle,has an engine,1290
a truck has an engine.,1,truck,vehicle,has an engine,1291
an airplane has an engine.,1,airplane,vehicle,has an engine,1292
a chainsaw has an engine.,1,chainsaw,tool,has an engine,1293
a submarine has an engine.,1,submarine,water vehicle,has an engine,1294
a boat has an engine.,1,boat,water vehicle,has an engine,1295
an oil tanker has an engine.,1,oil_tanker,water vehicle,has an engine,1296
a bus has an engine.,1,bus,vehicle,has an engine,1297
a plow has an engine.,1,plow,tool,has an engine,1298
a ball has an engine.,0,ball,toy,has an engine,1299
